Date,Close,High,Low,Open,Volume,daily_return,Rolling_Mean_10,volatility_10,RSI,MACD,MACD_signal,EMA_20,BB_upper,BB_lower,ATR,volume_change,volume_MA_20,volume_ratio,nifty_return,realty_return,crude_return,positive_news,negative_news,neutral_news,positive_score_avg,negative_score_avg,neutral_score_avg,news_count
2021-01-01,2633.825439453125,2649.435426342945,2609.5800223650067,2618.120466074565,1246698,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,2613.091064453125,2648.581491994429,2604.8353484813356,2639.092110032748,1360486,-0.007872342141362676,,,,,,,,,0.0,0.09127150280180119,,,0.00816067272711063,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,2651.19091796875,2661.3920029847545,2592.499001276695,2613.0909126020388,1299589,0.014580377252791488,,,,,,,,,0.0,-0.04476121033219016,,,0.004712380865514287,-0.003465131709613045,0.049128955060417256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,2662.10400390625,2678.330708925416,2638.0483266749134,2658.260757671003,1697884,0.004116295761099398,,,,,,,,,0.0,0.30647766332278903,,,-0.0037501320469031096,0.007112375396205239,0.01305971609826484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-07,2649.672607421875,2687.250651655377,2639.4715220857533,2657.9758164163927,1142806,-0.0046697636403888465,,,,,,,,,0.0,-0.32692339405990045,,,-0.0006291696120880319,0.013496508821696729,0.0014733302427025752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,2699.444580078125,2704.28425779892,2646.6362593967724,2674.1079752634146,1660967,0.01878419715584334,,,,,,,,,0.0,0.4534111651496404,,,0.014847223590326086,0.014245915733867465,0.029606483610305823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,2703.81005859375,2726.7268268358116,2680.3713279297904,2699.729577396724,1517995,0.0016171765658172799,,,,,,,,,0.0,-0.08607756806727651,,,0.009583718134137165,0.006259504711354946,-0.005893942153275655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,2581.6337890625,2704.473789040356,2573.662569416503,2704.0943064414623,6674890,-0.045186705753581635,,,,,,,,,0.0,3.3971752212622572,,,0.005433314024232416,0.027613431772397723,0.01652896130371362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,2565.64404296875,2621.9161218870086,2541.2563787236368,2619.0693074224187,2862676,-0.00619365386426729,,,,,,,,,0.0,-0.5711276140880224,,,9.609083312889233e-05,-0.0031005102964498654,-0.009190534481005708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,2527.8759765625,2596.9112196409355,2512.78795425014,2574.468927447368,2124950,-0.014720696158048496,,,,,,,,,0.0,-0.25770502844191934,,,0.002111247340323086,-0.0005924532091682311,0.006421633728782128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,2458.60400390625,2525.9313576629293,2448.782632084691,2525.0296809915562,2570436,-0.0274032323177692,-0.006694834713986663,0.019056642822920435,,,,,,,0.0,0.20964540342125693,,,-0.011092344158201595,-0.018227605239291234,-0.023395954230122085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,2456.0419921875,2486.076027536784,2424.916770493867,2459.6480039602816,2395168,-0.0010420595242989217,-0.0060118064522802885,0.019132005728226462,,,,,,,0.0,-0.06818609761145578,,,-0.010558650142566628,-0.020226451945754675,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
